,C,D,P,S,T
0,aa,25mmr,all,2ez,4r5e
1,aaa,abyss,alll,afk,5h1t
2,aaaa,ac,allllll,aggro,5hit
3,aaaaa,aeges,another,anchients,a55
4,aaaaaa,aeghis,any,ancient,a_s_s
5,aaaaaaaaaaaaaaa,aegis,anybodsy,ancients,abbo
6,aaaaaaaaaaaaaaaaa,aftershock,anybody,anient,abo
7,aaaaaaaaaaaaaaaaaa,agh,anyone,aoe,abortion
8,abaddon,agha,anything,awards,abuse
9,abadon,aghanim,anyting,b,alligatorbait
10,abba,aghanims,as,back,anal
11,abbadon,aghs,aught,bait,analannie
12,abddon,alacrity,both,baracks,analfisting
13,aclhe,aquila,bro,barracks,analsex
14,admiral,aquilla,bros,base,angie
15,agnus,arcane,brother,bbb,anus
16,akasha,armlet,cuz,bd,ar5e
17,akiro,assassinate,dude,block,areola
18,alc,assimilate,dudes,blood,aretard
19,alce,atos,each,bot,argie
20,alceh,avalanche,either,botlane,aroused
21,alch,basher,enough,bots,arrse
22,alche,basi,everybody,bottom,arse
23,alchee,basil,everyone,brb,arsehole
24,alcheeeee,basilius,everyones,bs,ashitty
25,alchem,battlefury,everything,btm,ass
26,alchemika,bedlam,everyting,buff,ass-fucker
27,alchemist,belt,everywehere,burst,assault
28,alchesa,bird,everywhere,caarry,assbagger
29,alchi,bkb,few,camp,assblaster
30,alchie,blade,girl,cancer,assclown
31,alchim,blademail,girls,cancers,asscowboy
32,alchs,blademaiol,girlssss,care,asses
33,am,bladmail,guuys,cares,assfuck
34,arc,blink,guy,carry,assfucker
35,arc warden,blinks,guys,carrys,assfukka
36,axe,bloodlust,guyss,caster,asshat
37,azgalor,bloodrage,guysss,casters,asshole
38,balanar,bloodstone,guyz,cc,assholes
39,balanr,blur,guyzzz,cd,asshore
40,bane,boots,guyzzzz,chick,assjockey
41,bara,botle,he,chicken,asskiss
42,bat,bottle,her,chickens,asskisser
43,batrider,bottles,hers,chicks,assklown
44,bb,bracer,herself,cooldown,asslick
45,bh,branch,him,cooldowns,asslicker
46,binvoker,bristleback,himself,creeeeeeeps,asslover
47,bloodseeker,buckler,his,creeep,assman
48,bm,bulldoze,i,creeepy,assmonkey
49,bristle,bulwark,idem,creep,assmunch
50,brood,buri,it,creepo,assmuncher
51,cent,burro,its,creeps,asspacker
52,centaur,burrow,itself,creepz,asspirate
53,centauro,burrowstrike,man,crereps,asspuppies
54,chaos,butterfl,many,crow,assranger
55,chen,butterfly,me,cs,asswhole
56,ck,chain,men,cw,asswhore
57,clink,chains,mine,damage,asswipe
58,clinkz,chakram,most,damaged,athletesfoot
59,clinkzz,chronosphere,my,damge,autism
60,clinz,circ,myself,dd,autistic
61,clock,circlet,naught,ddd,b!tch
62,clocks,clarity,neither,dddd,b00bs
63,clockwerk,claws,nobody,dddddd,b17ch
64,cm,claymore,none,debuff,b1tch
65,crix,cloack,nothin,deny,backdoor
66,crixalis,cloak,nothing,disable,backdoorman
67,crystal,consume,nought,disamble,backseat
68,dark,control,one,dive,badfuck
69,dazl,counterspell,other,dka,ballbag
70,dazle,courier,others,dmage,balllicker
71,dazzle,couriers,ought,dot,balls
72,death,cripple,our,dps,ballsack
73,deaths,crit,ours,duallane,bamboo coon
74,desi,crystalys,ourself,eeeeeeeeeeeeeeez,banging
75,dirge,curier,ourselves,eeezzz,baptist
76,disrupter,cyclone,several,eez,barelylegal
77,disruptor,daedalus,she,et,barf
78,disruptore,dag0on,sis,exp,barface
79,dk,dager,sister,ez,barfface
80,doom,dagger,sisters,eze,bast
81,doomn,daggon,some,ezeist,bastard
82,doooom,dagon,some1,ezez,bastarda
83,dooooom,deathlust,somebody,ezeze,bastards
84,dp,decay,someone,ezezeez,basterds
85,drow,decrepify,something,ezezeze,bazongas
86,drowwwwwww,demolish,somethings,ezi,bazooms
87,dusa,deso,somewhat,eziest,beaner
88,dzzle,desolate,such,ezmid,beast
89,earthsahker,desolator,suchlike,ezmmr,beastality
90,earthshaker,devour,that,ezpz,beastial
91,eartshaker,diffusal,thats,ezs,beastiality
92,elder,difusal,thee,ezszz,beatoff
93,ember,dismember,theee,ezt,beatyourmeat
94,embera,dispersion,their,ezwp,beaver
95,embers,disruption,theirs,ezy,bellend
96,ench,dissimilate,theirself,ezz,bestial
97,enchantress,divin,theirselves,ezzz,bestiality
98,enigma,divine,them,ezzzy,bi
99,es,donkey,themself,ezzzz,bi+ch
100,faceless,donkeys,themselves,ezzzzzz,bi-sexual
101,furi,doppelganger,there,ezzzzzzzzzz,biatch
102,furion,dota,theres,ezzzzzzzzzzzz,bicurious
103,ghusk,dota2,these,ezzzzzzzzzzzzzzzzzzzzzzzzzzzzz,bigass
104,gondar,dotabuff,thesee,fade,bigbastard
105,gyro,dotacinema,they,farm,bigbutt
106,hasta,dotaing,theyre,farming,bint
107,husk,dotas,thine,farmlane,bisexual
108,huska,drums,this,fb,bitcch
109,huskar,duel,those,feeder,bitch
110,huske,dust,thou,feeders,bitchass
111,husker,earthbind,thy,feeding,bitcheeees
112,invkoer,earthshock,thyself,feeeder,bitcher
113,invkr,eblade,u,ff,bitchers
114,invo,eclipse,ur,fff,bitches
115,invoekr,eject,urs,flash,bitchez
116,invok,emp,urself,flashy,bitchin
117,invokeeeer,empower,urselves,fog,bitching
118,invoker,enchant,us,fortification,bitchslap
